"","YearStart","LocationAbbr","LocationDesc","DataValue","LowConfidenceLimit","HighConfidenceLimit","LocationID","TOBDataValue","TOBLowConfidenceLimit","TOBHighConfidenceLimit","AlcHeavyDataValue","AlcHeavyLowConfidenceLimit","AlcHeavyHighConfidenceLimit","AlcBingeDataValue","AlcBingeLowConfidenceLimit","AlcBingeHighConfidenceLimit","ObeDataValue","ObeLowConfidenceLimit","ObeHighConfidenceLimit","selfHlthDataValue","selfHlthLowConfidenceLimit","selfHlthHighConfidenceLimit","HlthCareDataValue","HlthCareLowConfidenceLimit","HlthCareHighConfidenceLimit","X.x","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty","X.y","o3_mean","pm2.5_mean","so2_mean","co_mean","no2_mean","State.Name"
"1",2011,"IL","Illinois",9.8,7.7,12.4,17,"18.0",14.9,21.5,"8.9",6.7,11.7,"25.3",21.6,29.4,"47.2",42.8,51.6,88.4,85.3,90.9,81.2,77.2,84.7,118,179.3886,0.8173,0.5836,1.4009,9.4,0.118,0.15,0.134,14,0.0296138445170322,10.5151785714286,1.75318431330291,0.415211877020463,15.842281912249,"Illinois"
"2",2011,"AK","Alaska",11.4,8.7,14.8,2,"25.2",21,30,"7.0",4.9,9.9,"20.8",17.1,25.1,"53.7",48.4,58.9,88.1,83.2,91.7,79.3,75,83,10,8.6044,0.1286,0.0842,0.2128,7.5,0.076,0.104,0.089,2,0.0251622016065415,5.63962743883256,7.64180988602941,0.540025866877033,NA,"Alaska"
"3",2011,"AL","Alabama",9,7.1,11.2,1,"24.3",21.2,27.6,"4.4",3.1,6.2,"12.2",10.1,14.8,"56.9",53.2,60.6,86.4,83.7,88.7,75.9,72.7,78.9,1,92.0365,0.4325,0.1233,0.5558,9.4,0.15,0.2,0.176,1,0.0309265369104543,11.463052010528,1.42956666619318,0.339709086048159,NA,"Alabama"
"4",2011,"AZ","Arizona",13.5,9.6,18.6,4,"20.3",15.5,26.1,"5.4",3.5,8.1,"16.3",13,20.4,"49.3",43.4,55.1,88.6,85,91.5,80.2,75.5,84.2,19,106.7617,0.6403,0.4101,1.0504,9.2,0.165,0.195,0.18,3,0.0376448416771953,9.23414920194161,1.8795075694809,0.385180503190907,16.0161683370128,"Arizona"
"5",2011,"AR","Arkansas",11.1,8,15.2,5,"30.0",25.2,35.2,"6.2",4,9.6,"16.7",13,21.3,"53.2",47.5,58.9,83.4,78.7,87.2,66.8,61.3,71.9,28,48.6451,0.2505,0.0919,0.3424,8,0.146,0.201,0.174,4,0.0319949131291149,11.6099359544798,1.67033805641541,0.447883271917808,9.98697388071013,"Arkansas"
"6",2011,"CA","California",10.7,9.4,12.2,6,"10.4",9.1,11.7,"6.4",5.3,7.6,"17.3",15.6,19.2,"48.9",46.6,51.2,86.1,84.4,87.6,78.5,76.5,80.3,37,367.298,9.7964,2.7164,12.5128,11.8,0.138,0.167,0.153,5,0.035079180843444,10.9195330249242,0.857803238448213,0.363345318242926,12.9558701547852,"California"
"7",2011,"CO","Colorado",9.1,7.7,10.8,8,"17.0",14.8,19.3,"8.0",6.4,10,"22.2",19.6,24.9,"39.9",37,43,88.8,86.7,90.7,77.4,74.6,80,46,45.3103,0.4546,1.057,1.5116,8.6,0.116,0.137,0.126,6,0.0417124849319856,7.77302863573511,1.14149319699559,0.330683558909685,4.64237624936994,"Colorado"
"8",2011,"DC","District of Columbia",10.4,8,13.5,11,"17.3",14,21.3,"13.7",10.4,17.7,"30.5",26.2,35.3,"45.1",40.3,49.9,93.9,91.2,95.8,93.2,90.5,95.2,73,13.4845,0.3858,0.2688,0.6546,10.3,0.145,0.186,0.166,9,0.0292669777468707,10.5273262508475,2.72887105254091,0.694592815056313,15.4962959109875,"District Of Columbia"
"9",2011,"CT","Connecticut",14.9,12,18.5,9,"18.5",15.2,22.3,"7.1",5.3,9.4,"19.0",15.8,22.5,"44.6",40.3,49,90,87,92.3,86.8,83.6,89.4,55,37.8677,0.3071,0.1385,0.4456,8.9,0.086,0.114,0.1,7,0.0336343094357977,9.18127458544348,1.20911079616122,0.339884907530862,9.16439613231283,"Connecticut"
"10",2011,"DE","Delaware",17.6,14.1,21.7,10,"20.8",17.1,25.1,"6.2",4.2,9.2,"21.5",17.4,26.3,"51.9",46.8,56.8,91.8,89.1,93.8,89.5,86.2,92.1,64,13.4927,0.0663,0.0372,0.1035,8.1,0.085,0.135,0.111,8,0.0320457203671503,10.3383042212268,1.55798908699254,0.285896067035245,11.4566014384058,"Delaware"
