"","Location","year","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty"
"1","Alabama",2011,92.0365,0.4325,0.1233,0.5558,9.4,0.15,0.2,0.176
"2","Alabama",2012,91.0244,0.3825,0.1384,0.5209,7.9,0.147,0.197,0.173
"3","Alabama",2013,91.5322,0.3387,0.1302,0.4689,7.3,0.148,0.202,0.176
"4","Alabama",2014,90.2073,0.3115,0.1446,0.4561,6.7,0.154,0.208,0.182
"5","Alabama",2015,88.938,0.2868,0.1102,0.397,6.1,0.154,0.207,0.182
"6","Alabama",2016,85.0804,0.3019,0.1092,0.4111,5.9,0.154,0.207,0.182
"7","Alabama",2017,80.4336,0.2985,0.0808,0.3793,4.5,0.131,0.183,0.158
"8","Alabama",2018,76.6681,0.257,0.0864,0.3434,3.9,0.132,0.182,0.158
"9","Alabama",2019,66.7043,0.2519,0.0742,0.3261,3.2,0.123,0.17,0.148
"10","Alaska",2011,8.6044,0.1286,0.0842,0.2128,7.5,0.076,0.104,0.089
"11","Alaska",2012,9.1298,0.1298,0.0615,0.1913,7.1,0.091,0.12,0.105
"12","Alaska",2013,9.1364,0.1362,0.0584,0.1946,7,0.078,0.093,0.085
"13","Alaska",2014,8.7486,0.1209,0.0575,0.1784,6.7,0.116,0.124,0.12
"14","Alaska",2015,8.1121,0.1342,0.0614,0.1956,6.3,0.097,0.089,0.093
"15","Alaska",2016,8.2326,0.1527,0.0413,0.194,6.6,0.097,0.089,0.093
"16","Alaska",2017,8.9113,0.1354,0.0491,0.1845,6.5,0.101,0.119,0.11
"17","Alaska",2018,9.1995,0.1434,0.0582,0.2016,6,0.107,0.107,0.107
"18","Alaska",2019,7.8932,0.1384,0.0523,0.1907,5.5,0.088,0.114,0.101
"19","Arizona",2011,106.7617,0.6403,0.4101,1.0504,9.2,0.165,0.195,0.18
"20","Arizona",2012,112.3974,0.631,0.4992,1.1302,8.1,0.154,0.191,0.173
"21","Arizona",2013,111.1105,0.651,0.4052,1.0562,7.8,0.161,0.194,0.178
"22","Arizona",2014,104.431,0.6194,0.4301,1.0495,6.8,0.156,0.19,0.173
"23","Arizona",2015,99.9401,0.6548,0.3348,0.9896,6.1,0.154,0.181,0.168
"24","Arizona",2016,96.0105,0.6659,0.3048,0.9707,5.5,0.154,0.181,0.168
"25","Arizona",2017,91.8728,0.6488,0.2459,0.8947,5,0.128,0.154,0.141
"26","Arizona",2018,84.5733,0.7259,0.2606,0.9865,4.8,0.121,0.144,0.132
"27","Arizona",2019,73.6883,0.7538,0.2469,1.0007,4.9,0.115,0.136,0.126
"28","Arkansas",2011,48.6451,0.2505,0.0919,0.3424,8,0.146,0.201,0.174
"29","Arkansas",2012,50.2125,0.3428,0.0786,0.4214,7.2,0.15,0.203,0.177
"30","Arkansas",2013,50.4621,0.3174,0.0638,0.3812,7,0.156,0.2,0.178
"31","Arkansas",2014,49.1965,0.2303,0.0633,0.2936,5.9,0.153,0.197,0.175
"32","Arkansas",2015,46.8904,0.1833,0.0727,0.256,5,0.163,0.206,0.185
"33","Arkansas",2016,42.6069,0.1838,0.0625,0.2463,4,0.163,0.206,0.185
"34","Arkansas",2017,38.8362,0.2068,0.0399,0.2467,3.7,0.133,0.172,0.153
"35","Arkansas",2018,37.2451,0.228,0.0432,0.2712,3.6,0.128,0.197,0.164
"36","Arkansas",2019,35.4917,0.2303,0.0414,0.2717,3.5,0.135,0.176,0.156
"37","California",2011,367.298,9.7964,2.7164,12.5128,11.8,0.138,0.167,0.153
"38","California",2012,396.4221,9.4888,2.521,12.0098,10,0.137,0.168,0.153
"39","California",2013,415.9031,9.3458,2.5094,11.8552,9,0.137,0.17,0.154
"40","California",2014,434.9634,9.0765,2.3187,11.3952,7.6,0.136,0.166,0.151
"41","California",2015,441.7772,9.3156,2.2582,11.5738,6.2,0.126,0.158,0.142
"42","California",2016,434.0042,9.766,2.0482,11.8142,5.5,0.126,0.158,0.142
"43","California",2017,411.2066,11.026,2.1272,13.1532,4.8,0.104,0.136,0.12
"44","California",2018,394.9535,10.9008,2.0964,12.9972,4.3,0.101,0.13,0.115
"45","California",2019,352.947,12.8777,2.2501,15.1278,4.1,0.094,0.119,0.106
"46","Colorado",2011,45.3103,0.4546,1.057,1.5116,8.6,0.116,0.137,0.126
"47","Colorado",2012,49.163,0.5101,1.1667,1.6768,7.6,0.117,0.141,0.129
"48","Colorado",2013,50.7934,0.4664,0.509,0.9754,6.8,0.108,0.139,0.124
"49","Colorado",2014,50.5169,0.5573,0.4455,1.0028,5,0.109,0.128,0.119
"50","Colorado",2015,49.5134,0.5729,0.4224,0.9953,3.7,0.104,0.122,0.113
"51","Colorado",2016,47.569,0.645,0.41,1.055,3.1,0.104,0.122,0.113
"52","Colorado",2017,45.9247,0.7571,0.3369,1.094,2.6,0.089,0.114,0.102
"53","Colorado",2018,44.9824,0.7607,0.325,1.0857,3,0.083,0.107,0.095
"54","Colorado",2019,41.5289,0.7263,0.2356,0.9619,2.6,0.084,0.104,0.094
"55","Connecticut",2011,37.8677,0.3071,0.1385,0.4456,8.9,0.086,0.114,0.1
"56","Connecticut",2012,40.3466,0.2906,0.1303,0.4209,8.3,0.087,0.114,0.101
"57","Connecticut",2013,42.532,0.3101,0.1347,0.4448,8,0.082,0.113,0.098
"58","Connecticut",2014,43.8559,0.3069,0.1381,0.445,6.6,0.078,0.113,0.096
"59","Connecticut",2015,44.2161,0.2719,0.1328,0.4047,5.6,0.085,0.11,0.098
"60","Connecticut",2016,43.1597,0.257,0.1332,0.3902,4.9,0.085,0.11,0.098
"61","Connecticut",2017,41.0344,0.2208,0.118,0.3388,4.4,0.079,0.1,0.09
"62","Connecticut",2018,38.7329,0.228,0.1696,0.3976,3.9,0.08,0.112,0.096
"63","Connecticut",2019,34.0447,0.21,0.0933,0.3033,3.5,0.082,0.108,0.095
"64","Delaware",2011,13.4927,0.0663,0.0372,0.1035,8.1,0.085,0.135,0.111
"65","Delaware",2012,14.8257,0.0611,0.0397,0.1008,7.1,0.096,0.139,0.119
"66","Delaware",2013,15.3137,0.0575,0.0371,0.0946,6.6,0.106,0.138,0.123
"67","Delaware",2014,15.0232,0.0584,0.0317,0.0901,5.6,0.104,0.138,0.122
